category,path,exists,kind,bytes,sha256,why_it_matters
Start here,00_START_HERE.md,True,md,2426,57773b377af6290218fe37e1415b0e160ac639392364aa82edef514f5faf9bda,Read order and strongest results
Report story,01_REPORT_WRITING_BRIEF.md,True,md,2917,2758bd58059c9b70f7f337317754b9a3c20f139bb690421ba6ad1d555c5d6b55,"Thesis, RQs, claims, figure plan, no-overclaim guidance"
Results analysis,02_RESULTS_DEEP_DIVE.md,True,md,4956,a3edffb3f80eaacfb160b823510228f6d7dc206a0452988ea1ebbf1f8f4ff6cf,"Synthetic, registration, demo metrics and interpretation"
Code map,03_CODE_AND_EXPERIMENT_INDEX.md,True,md,2902,12f0e12e7ad5818f831fa057154c2cfb9340409e7a4a4657c0152e28c6e75e99,"Core modules, configs, runners, tests"
Reproducibility,04_REPRODUCIBILITY_AND_GAPS.md,True,md,1875,c66f722bb8516eae299b76712ee22587695253c440f67339e3f30ba5ada6cfe5,"Commands, test status, missing pieces"
Master guide,05_IEEE_REPORT_MASTER_GUIDE.md,True,md,6591,1f44334df4f19eb53193e7cbded69dc49f6b259ecb97e16e2166f846578a5308,"Paper outline, strongest claims, best tables/figures, and report framing"
Asset index,05_MASTER_ASSET_INDEX.csv,True,csv,8493,self-referential-index,Paper-critical asset map with hashes and purpose
Top inventory,06_TOP_LEVEL_INVENTORY.csv,True,csv,517,818353b439ec789f49024af275888e3a6535ce903777aecd461d0527e917f09c,Top-level file counts and sizes for the handoff folder
Verification summary,07_HANDOFF_VERIFICATION_SUMMARY.md,True,md,1359,8d1948d6d6c55799863f6e78ae9cdc43be1817c8068c8c896f0ee6ec8889ad7b,Critical asset existence check and folder inventory
Claude prompt,CLAUDE_FULL_HANDOFF.md,True,md,3621,8dbf7769bc97aacc5a4e67c82d88cf465b0bdb08d6a99fb97bbb7bad602f87f2,Compact context to paste into Claude first
Reference frames,data_annotations,True,directory,1088158,directory,Manual annotation frames
Annotations,data_annotations/annotations_v3.json,True,json,775,88e3e93eb1ee01b9a0d77d574446d4762bb311412db87dbfd1fe3611f6a02068,Current court anchor annotations
Registration overlay figure,figures/photos_for_slides/01_registration_overlay.png,True,png,1871239,82e2d47a9a5a0a879c1dccb203f80612aee0b2b093c5bada59a06f5f460350e6,Best court registration figure
Registration comparison figure,figures/photos_for_slides/02_registration_comparison.png,True,png,3863895,1da304a6440f3308fde65f2194c4371b7bec1a605cff7edf675d32e39fe39bbb,Side-by-side registration comparison
Detected fault figure,figures/photos_for_slides/03_detected_fault_event.png,True,png,2005795,ca82681f8a77b91c7d5bfbd54d192a9007a3755dbd140d68068e455e336587b9,Qualitative detected fault example
Uncertain event figure,figures/photos_for_slides/04_uncertain_event.png,True,png,1978753,d84acba2365fd46af3bf16f2acde671f662fb03a40768bd2833bb708267c461e,Qualitative uncertain example
Review workflow figure,figures/photos_for_slides/05_uncertain_review_event.png,True,png,1965506,ebf2c37a6af0be9b96f15af6d114466fb625b7051f134510bb2d164c78035736,Human review artifact example
Demo event chart,generated_charts/demo_event_label_counts.svg,True,svg,1040,41fcd42355948a80e7293a5d26c0c495a33e3daaaa3b0bc4cf54098a41aa960d,Report-ready demo event label chart
Registration fallback chart,generated_charts/registration_fallback_comparison.svg,True,svg,1309,9b448acc0dc23bd36686177921a27bbfbd63e85da1b4be052f2b8bb46da7bc86,Report-ready comparison chart
Synthetic key rates chart,generated_charts/synthetic_key_rates.svg,True,svg,1294,45399da26bb7d961c6d40b851e6cb626e6b0221ced2b1b01e34fa22248ad8cdd,Report-ready synthetic rates chart
Copied manifest,manifests/copied_files_manifest.csv,True,csv,154056,1e3e2bcd6b949dcee71e8938b1d5d8819e2514d165a119d962fceb08a6067295,All copied files with hashes and reasons
Missing manifest,manifests/missing_referenced_files.csv,True,csv,747,6b6f544b1d93a1f17281c00f7ec201c961e95fdc88751f9c71ce78ee78c5ec21,Absent or manual files to avoid assuming exist
Skipped manifest,manifests/skipped_large_or_irrelevant_assets.csv,True,csv,3209,73773d1a2d4cd49479a47a15228d2d8ae91e7cc39447fee90f624caa77d638c4,Large raw videos/models intentionally not duplicated
Prompt context,prior_context/TotalPrompts,True,directory,219886,directory,Prior chat history distilled for project context
Active-side demo summary,results/presentation_demo/demo_v1_active_side/foot_faults/summary.json,True,json,212,deb98465e771c737986bf94fd6ca164c01d4849da9693b5a4389891fa699ff04,"3 event labels, threshold and margin"
Active-side review JSON,results/presentation_demo/demo_v1_active_side/review/review_pending.json,True,json,9276,fe143644bdce9bc3a8314b3bee4f2e16f3edbbb297512444e555f5ea56db72b3,Human-in-loop review artifacts
Foot-review demo summary,results/presentation_demo/demo_v1_foot_review/foot_faults/summary.json,True,json,204,54c9a360698a66b8cb26a99d8b30db27fcb8a3d64893797e7d72c345d1fc4d93,Alternate reviewed demo labels
Foot-review JSON,results/presentation_demo/demo_v1_foot_review/review/review_pending.json,True,json,4774,fbd3f81f8238e15604c57c8b3dd0cc6d1e63b4d8586c85a4acedd98dd7f0addd,Foot review artifacts
Registration v1 report,results/real_baseline/court_reg_v1/summary_report.json,True,json,1429,4d72dfb8639ecd68473e90aa6169de7debdf2817c1d0da3cc1fc4ef9ac51bc1d,Earlier line-based registration baseline
Registration comparison,results/real_baseline/court_reg_v3/comparisons/comparison_report.json,True,json,2305,093ad6d0df39dbe86bd6b629546469e9b969700b53a998fa604c0c3ef14e07e3,post_translation vs affine/static/refinement comparison
Registration v3 report,results/real_baseline/court_reg_v3/summary_report.json,True,json,5190,04319e3a8ca116335ef42f628baf95a9c765879877bb4a5d0ab54a5fb04de90b,Best real-video court registration result
Synthetic confusion matrix,results/sim_v1/confusion_matrix.csv,True,csv,92,2b62d5458e6468b432afca6fd9485627d95d716e1c452d2a22b07c13a33eae3f,"Rows true labels, columns predicted labels"
Synthetic confusion plot,results/sim_v1/confusion_matrix.png,True,png,16347,dfe9da1e42601fcd753fd006aa7b652ec90e9a33b9a80a3a77e4c945217ec0b0,Figure/table source for synthetic results
Synthetic failure slices,results/sim_v1/failure_analysis.csv,True,csv,678,22a280404623b03d0573934f1c72593421d5c041974d1267f171dac08018266a,"Performance by scenario, occlusion, blur, distance bucket"
Synthetic metrics,results/sim_v1/metrics.csv,True,csv,198,0354d830b3c1ba05a551461dbac9605262055c17979cb02d2db4bf2cbf4293ed,200-sample precision/recall/uncertainty metrics
Current registration config,source_snapshot/experiments/configs/court_reg_v3.yaml,True,yaml,1836,997248bfdcef1603bcba296d85aa2ccfa7a2c622584ba0acfb32d53f2274d8db,Best court registration parameters
Demo pipeline config,source_snapshot/experiments/configs/demo_pipeline.yaml,True,yaml,10180,ab39dc7ea9a7f9163a88f0f5bd424bfe7f69384bdc3c7bac6ff2d9f3f74cafd4,End-to-end demo parameters
Synthetic config,source_snapshot/experiments/configs/sim_v1.yaml,True,yaml,350,6b4791a4df5cf6977b60b201e8120c6e652fa516c050b3431f25adb9390632a7,Synthetic experiment parameters
Ball tracker code,source_snapshot/src/ball_tracker.py,True,py,22210,411af61f2c0dabd4f19ab8d4c79e9708fe67498b2c2968f663f3438ea83fe4ff,Ball tracking and overlay export
Court model code,source_snapshot/src/court_model.py,True,py,7133,2e1a67b34494383277c8dda53d185d78a9304e9045ecedbe8282ecbb12198b8d,Anchor-based court/NVZ geometry
Evaluation code,source_snapshot/src/evaluate.py,True,py,7671,55c29376356f532d2764cbbc9e18b7c782c5d13d3d657246d4fa2f756d067ceb,Metrics and failure analysis
Foot-fault pipeline code,source_snapshot/src/foot_fault_pipeline.py,True,py,34281,6cbe6896cafaab428f036d09e2a2fb9f53856f566819d054140992303c956483,Signed-distance labeling and review workflow
Foot localizer code,source_snapshot/src/foot_localizer.py,True,py,40286,f61a5013228e129460778e3e7699ef9c0df9412c9388ebc5a33b352e64b62fe2,Manual/background/ROI foot localization
Synthetic generator code,source_snapshot/src/sim_generator.py,True,py,4811,afb97c8ec86719d5fba749c7f2172e960dce74080dbe583a7759fdabcc0c341d,Synthetic sample generation
Stabilizer code,source_snapshot/src/stabilizer.py,True,py,9228,f626a42f9e193d6468193f4d7c91b7dce9e8eefecca33e8f3fd232b3176a7da5,"ORB matching, RANSAC, transform fallback logic"
Volley classifier code,source_snapshot/src/volley_classifier.py,True,py,20452,907433bb0c8c0651cdfeb1dd09eb8bf77f38c4903808fa09a808e1e02af0654d,Trajectory smoothing and event candidates
Unit tests,source_snapshot/tests,True,directory,8050,directory,"Tests supporting generator, detector, evaluation code"
